x y
0.267573 0.100679
0.272591 0.099638
0.277610 0.098605
0.282632 0.097581
0.287655 0.096567
0.292680 0.095560
0.297706 0.094562
0.302735 0.093572
0.307764 0.092590
0.312796 0.091616
0.317828 0.090650
0.322863 0.089691
0.327899 0.088739
0.332936 0.087795
0.337974 0.086857
0.343015 0.085927
0.348056 0.085003
0.353099 0.084086
0.358143 0.083176
0.363188 0.082272
0.368235 0.081374
0.373282 0.080483
0.378332 0.079597
0.383382 0.078718
0.388433 0.077844
0.393486 0.076976
0.398539 0.076114
0.403594 0.075257
0.408650 0.074406
0.413707 0.073560
0.418765 0.072719
0.423824 0.071883
0.428884 0.071053
0.433945 0.070227
0.439007 0.069407
0.444070 0.068591
0.449134 0.067780
0.454199 0.066973
0.459264 0.066171
0.464331 0.065374
0.469399 0.064581
0.474467 0.063792
0.479536 0.063008
0.484606 0.062228
0.489677 0.061452
0.494749 0.060680
0.499822 0.059913
0.504895 0.059149
0.509969 0.058389
0.515044 0.057633
0.520120 0.056881
0.525196 0.056132
0.530273 0.055388
0.535351 0.054646
0.540430 0.053909
0.545509 0.053175
0.550589 0.052444
0.555670 0.051717
0.560751 0.050993
0.565834 0.050273
0.570916 0.049556
0.576000 0.048842
0.581084 0.048132
0.586168 0.047424
0.591254 0.046720
0.596339 0.046019
0.601426 0.045321
0.606513 0.044626
0.611601 0.043934
0.616689 0.043245
0.621778 0.042559
0.626868 0.041876
0.631958 0.041196
0.637048 0.040518
0.642140 0.039844
0.647231 0.039172
0.652324 0.038503
0.657417 0.037837
0.662510 0.037173
0.667604 0.036512
0.672698 0.035854
0.677793 0.035199
0.682889 0.034546
0.687985 0.033896
0.693082 0.033248
0.698179 0.032603
0.703277 0.031961
0.708375 0.031321
0.713473 0.030684
0.718573 0.030049
0.723672 0.029417
0.728772 0.028787
0.733873 0.028160
0.738974 0.027535
0.744076 0.026913
0.749178 0.026293
0.754281 0.025676
0.759384 0.025062
0.764488 0.024449
0.769592 0.023840
0.774697 0.023232
0.779802 0.022627
0.784908 0.022025
0.790014 0.021425
0.795120 0.020828
0.800227 0.020233
0.805335 0.019640
0.810443 0.019050
0.815552 0.018463
0.820661 0.017878
0.825771 0.017295
0.830881 0.016715
0.835991 0.016138
0.841103 0.015563
0.846214 0.014990
0.851326 0.014420
0.856439 0.013853
0.861552 0.013288
0.866666 0.012726
0.871780 0.012166
0.876895 0.011609
0.882010 0.011055
0.887126 0.010503
0.892242 0.009954
0.897359 0.009407
0.902476 0.008864
0.907594 0.008323
0.912713 0.007784
0.917832 0.007249
0.922951 0.006716
0.928071 0.006186
0.933192 0.005659
0.938313 0.005134
0.943435 0.004613
0.948558 0.004094
0.953681 0.003578
0.958804 0.003066
0.963928 0.002556
0.969053 0.002049
0.974178 0.001545
0.979304 0.001045
0.984431 0.000547
0.989558 0.000053
0.994686 -0.000439
0.999815 -0.000927
