Run_ID,Range_(Nmi),Fuel_Fraction,Wingspan,Spans,Sweeps,Root_Chords,Tip_Chords,Swet,Sref,Taper Ratios,Wing Section Areas,L_D_Cruise,CD0,CDi_Cruise,CDw_Cruise,CD_Total_Cruise,CL_Cruise,Alpha_Cruise,AR,MTOW,Static_Margin,Section3_Stress_Pa,Stress_Ratio,Root_Moment_Sec3,Cost_Per_Hour
512,7000.0,0.3081820434034013,47.64363601097199,[ 3.30101179  5.36496265 12.5033392   2.81073579],[42.53043826 54.8729839  29.76214557 45.        ],[50.36432839 36.46163411  7.42939768  1.03315466],[36.46163411  7.42939768  1.03315466  0.1369525 ],1211.6605270302512,631.186296204594,[0.72395752 0.20375932 0.13906304 0.1325576 ],[143.30676288 117.73687302  52.90508116   1.64443103],22.000987582560754,0.005033370784775515,0.004924757308731252,0.0003449569360687239,0.010311507474557332,0.22686334790521825,0.0396090097184492,3.5962695419645354,1357231.613,"[-31.22118484 -24.45882602 -24.32737673 -21.26607175 -21.15221932
 -21.10182603 -20.94935964 -20.77657939 -20.66085339 -20.60963986]",184089089.99717852,0.6421712441762041,1914739.4803657257,10398.267339534854
513,7000.0,0.3081820434034013,65.03330415193871,[ 4.50586315  7.32314485 17.06699003  3.83663907],[43.17159194 65.         40.41317839 33.69892881],[56.43717241 40.85811519  8.32522166  1.15773067],[40.85811519  8.32522166  1.15773067  0.153466  ],1871.3141418526316,965.4519918430478,[0.72395752 0.20375932 0.13906304 0.1325576 ],[219.19962538 180.08834992  80.92272645   2.51529418],23.320658662150986,0.004841890259363944,0.0022737376921852987,0.00016779257594210366,0.007295341886455872,0.17013217795773003,-1.0520559850394924,4.380674217518343,1556858.755,"[-2.51089769  1.23041378  1.3027178   2.88137392  2.93977229  2.96716613
  3.05004003  3.13861541  3.19792     3.22573435]",262658373.56161645,0.9162501403312202,3061364.8530995,10780.114308291213
514,7000.0,0.3081820434034013,62.3822078874921,[ 4.32218069  7.02461531 16.37125061  3.68023767],[48.00747742 59.65734066 35.33588974 35.22608424],[53.77329887 38.92958392  7.93226544  1.10308498],[38.92958392  7.93226544  1.10308498  0.14622229],1684.5290101120363,882.382808610798,[0.72395752 0.20375932 0.13906304 0.1325576 ],[200.33930503 164.59323233  73.95999309   2.29887385],23.769085312368983,0.004817294644292638,0.0024738383500557256,0.00020910925312551398,0.007491196941790819,0.1780588992011836,-0.9059818509072752,4.410262556049825,1489199.189,"[-11.27461765  -6.33227503  -6.23658709  -4.18755257  -4.11176169
  -4.0755247   -3.96588912  -3.85091324  -3.77393061  -3.7371297 ]",252193212.1489444,0.8797437633102713,2800648.9028343116,10470.822089624337
515,7000.0,0.3081820434034013,72.90226788270384,[ 5.05106801  8.20923793 19.13207849  4.3008685 ],[65.         42.18601179 43.58426804 27.18804195],[51.72243147 37.44484305  7.62973566  1.06101427],[37.44484305  7.62973566  1.06101427  0.1406455 ],1843.7682669096516,991.8581995678634,[0.72395752 0.20375932 0.13906304 0.1325576 ],[225.19498391 185.01397068  83.13605487   2.58409033],25.17740111008115,0.004614598213770718,0.0017160630021904398,0.00015821387283838497,0.006492586774610569,0.16346646146637833,-1.1194708104528004,5.358367420622281,1536775.111,"[-2.81212666  1.54013353  1.62428877  3.31893691  3.38142316  3.41306683
  3.50880913  3.60359063  3.66704017  3.69916689]",299090517.89085937,1.0433390158983467,3194774.2251367406,10349.17687575769
516,7000.0,0.3081820434034013,67.60475321329629,[ 4.68402721  7.61270562 17.74182728  3.98834168],[65.         53.97216322 45.         32.51957379],[47.44750651 34.34997898  6.99912827  0.97332009],[34.34997898  6.99912827  0.97332009  0.12902097],1574.9714634404452,843.7625432209626,[0.72395752 0.20375932 0.13906304 0.1325576 ],[191.57082376 157.38929063  70.72290083   2.19825639],25.710053363866045,0.004757943973165063,0.002090478508745301,0.00019360855555981176,0.007055581112395483,0.18139936691277322,-0.23654885276346002,5.416692994670905,1450734.963,"[ 2.10612613  8.15980546  8.27713515 10.5902774  10.67556783 10.71967499
 10.85313992 10.98253962 11.06916627 11.11395801]",276180381.9289574,0.9634199369614792,2706230.6859567147,10001.836048422134
517,7000.0,0.3081820434034013,85.08828196142807,[ 5.89538174  9.5814571  22.33011038  5.01978227],[41.19023678 46.89911474 29.38332814 45.        ],[52.28975979 37.85556464  7.71342401  1.07265223],[37.85556464  7.71342401  1.07265223  0.1421882 ],2178.941273035213,1170.3506961177507,[0.72395752 0.20375932 0.13906304 0.1325576 ],[265.72054987 218.30865488  98.09702609   3.04911722],24.270763154404076,0.004673771486781491,0.001165261710893926,0.00012607782545866314,0.00596328896416399,0.1447335740704958,-1.967914874187038,6.186193378757179,1605526.112,"[-15.7388979   -9.83619559  -9.72225841  -7.33884144  -7.25087615
  -7.20793418  -7.07802015  -6.94461321  -6.8553045   -6.81171353]",364419288.76170915,1.2712300770757294,3935288.688525575,10734.303704504822
518,7000.0,0.3081820434034013,42.82774551810197,[ 2.96734054  4.82266414 11.23948284  2.52662238],[45.91659459 41.38008403 26.65440597 45.        ],[47.47445322 34.36948726  7.00310326  0.97387286],[34.36948726  7.00310326  0.97387286  0.12909425],1020.8024646821297,534.8288192798453,[0.72395752 0.20375932 0.13906304 0.1325576 ],[121.42942147  99.76305437  44.82854312   1.39339069],21.10280449869082,0.005068536219321493,0.006620614101886732,0.00046219026016159357,0.01217229803467518,0.2568696257255488,0.46263252948254974,3.429538050386105,1302145.825,"[-44.10839954 -36.14497672 -35.98988949 -32.21040087 -32.06941986
 -32.00956183 -31.82846107 -31.61447358 -31.47112142 -31.41026796]",166426413.13312888,0.5805572551155659,1631701.8994306878,10399.419387747272
519,7000.0,0.3081820434034013,55.347640038750434,[ 3.83478734  6.23248027 14.52513652  3.26523342],[52.05752359 62.05999517 38.77540577 31.41023086],[60.3507023  43.69134457  8.90251854  1.23801133],[43.69134457  8.90251854  1.23801133  0.16410781],1749.63635140911,878.6401655174143,[0.72395752 0.20375932 0.13906304 0.1325576 ],[199.48956214 163.89510707  73.64629041   2.28912314],21.788118276327207,0.0048988047378941794,0.0033978705330136617,0.00022408068072412023,0.008515753343463602,0.18554224105941383,-0.47430797822041415,3.486479878887776,1545204.339,"[-9.96955211 -7.2347855  -7.18191841 -5.94106803 -5.89501549 -5.87483148
 -5.81377492 -5.7439254  -5.69715084 -5.67665408]",215398817.01040632,0.7513912221293244,2684628.748129011,11093.534441118658
520,7000.0,0.3081820434034013,57.85857273247859,[ 4.0087585   6.51522653 15.18409217  3.41336587],[61.0291679  64.30502954 45.         28.15419531],[61.05248277 44.19940382  9.00604035  1.25240739],[44.19940382  9.00604035  1.25240739  0.16601611],1835.119898724289,929.1817305261624,[0.72395752 0.20375932 0.13906304 0.1325576 ],[210.96469732 173.32276078  77.88260798   2.42079918],22.241607021432188,0.004792641234478815,0.0030834192710971677,0.00020570510591042603,0.008078176092147166,0.17967161809146603,-0.0766600938143609,3.602755336939181,1582385.191,"[1.41116128 3.12304434 3.15610724 3.91500291 3.94312966 3.95571325
 3.99377876 4.03643628 4.06499943 4.07777601]",224733172.29089016,0.7839529265961284,2833538.424478377,11110.53463998015
521,7000.0,0.3081820434034013,79.47873752409114,[ 5.50672181  8.94978834 20.85797176  4.68884725],[65.         42.97772491 45.         39.62273384],[52.88062578 38.28332652  7.80058448  1.08477303],[38.28332652  7.80058448  1.08477303  0.14379491],2066.158798225159,1105.5468769464583,[0.72395752 0.20375932 0.13906304 0.1325576 ],[251.00726221 206.22062465  92.66526794   2.88028368],24.856294356965428,0.004611471078169773,0.0014164814128282497,0.00012876182106026456,0.0061698874008119815,0.15336053738391495,-1.3860358817053746,5.713796357392542,1607025.812,"[2.5237227  5.8382015  5.90217659 7.20711625 7.25522627 7.27927828
 7.35204599 7.42500899 7.47385096 7.49826519]",320824595.05658185,1.119155564150867,3503667.0990725984,10621.467717728228
